IdDistrito,Distrito,IdCargo,Cargo,idAgrupacion,Agrupacion,idLista,lista
11.0,La Pampa,3.0,DIPUTADOS NACIONALES,502.0,JUNTOS POR EL CAMBIO,4.0,NUESTRA CAUSA
11.0,La Pampa,3.0,DIPUTADOS NACIONALES,502.0,JUNTOS POR EL CAMBIO,5.0,UNIDOS POR LA PAMPA
11.0,La Pampa,3.0,DIPUTADOS NACIONALES,502.0,JUNTOS POR EL CAMBIO,2.0,INTEGRACION PAMPEANA
11.0,La Pampa,3.0,DIPUTADOS NACIONALES,503.0,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,2.0,UNIDAD DE LA IZQUIERDA
11.0,La Pampa,3.0,DIPUTADOS NACIONALES,503.0,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1.0,(R)EVOLUCIONEMOS LA IZQUIERDA
11.0,La Pampa,2.0,SENADORES NACIONALES,,,,
11.0,La Pampa,2.0,SENADORES NACIONALES,50.0,SOCIALISTA,1.0,VAMOS CON VOS
11.0,La Pampa,2.0,SENADORES NACIONALES,200.0,MOVIMIENTO AL SOCIALISMO,1.0,PARA RENOVAR A LA IZQUIERDA
11.0,La Pampa,2.0,SENADORES NACIONALES,501.0,FRENTE DE TODOS,1.0,CELESTE Y BLANCA
11.0,La Pampa,2.0,SENADORES NACIONALES,502.0,JUNTOS POR EL CAMBIO,1.0,DEMOCRACIA Y CONSENSO
11.0,La Pampa,2.0,SENADORES NACIONALES,502.0,JUNTOS POR EL CAMBIO,3.0,MOVIMIENTO FEDERALISTA
11.0,La Pampa,2.0,SENADORES NACIONALES,502.0,JUNTOS POR EL CAMBIO,4.0,NUESTRA CAUSA
11.0,La Pampa,2.0,SENADORES NACIONALES,502.0,JUNTOS POR EL CAMBIO,5.0,UNIDOS POR LA PAMPA
11.0,La Pampa,2.0,SENADORES NACIONALES,502.0,JUNTOS POR EL CAMBIO,2.0,INTEGRACION PAMPEANA
11.0,La Pampa,2.0,SENADORES NACIONALES,503.0,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,2.0,UNIDAD DE LA IZQUIERDA
11.0,La Pampa,2.0,SENADORES NACIONALES,503.0,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1.0,(R)EVOLUCIONEMOS LA IZQUIERDA
20.0,Santa Cruz,3.0,DIPUTADOS NACIONALES,501.0,CAMBIA SANTA CRUZ,5.0,SANTA CRUZ NOS UNE
20.0,Santa Cruz,3.0,DIPUTADOS NACIONALES,501.0,CAMBIA SANTA CRUZ,3.0,FUTURO SANTA CRUZ
20.0,Santa Cruz,3.0,DIPUTADOS NACIONALES,501.0,CAMBIA SANTA CRUZ,6.0,TU VOZ EN EL CONGRESO
20.0,Santa Cruz,3.0,DIPUTADOS NACIONALES,501.0,CAMBIA SANTA CRUZ,2.0,EVOLUCIÓN SANTA CRUZ
20.0,Santa Cruz,3.0,DIPUTADOS NACIONALES,501.0,CAMBIA SANTA CRUZ,4.0,JUNTOS POR SANTA CRUZ
20.0,Santa Cruz,3.0,DIPUTADOS NACIONALES,501.0,CAMBIA SANTA CRUZ,1.0,CON VOS
20.0,Santa Cruz,3.0,DIPUTADOS NACIONALES,502.0,FRENTE DE TODOS,1.0,ACUERDO SANTACRUCEÑO
20.0,Santa Cruz,3.0,DIPUTADOS NACIONALES,503.0,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,2.0,UNIDAD DE LA IZQUIERDA
20.0,Santa Cruz,3.0,DIPUTADOS NACIONALES,503.0,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1.0,(R)EVOLUCIONEMOS LA IZQUIERDA
20.0,Santa Cruz,3.0,DIPUTADOS NACIONALES,,,,
20.0,Santa Cruz,3.0,DIPUTADOS NACIONALES,172.0,MOVIMIENTO AL SOCIALISMO,1.0,PARA RENOVAR A LA IZQUIERDA
20.0,Santa Cruz,3.0,DIPUTADOS NACIONALES,182.0,SOMOS ENERGÍA PARA RENOVAR SANTA CRUZ -SER-,1.0,UNIDOS
3.0,Catamarca,7.0,CONCEJALES,502.0,FRENTE DE TODOS,15.0,CELESTE Y BLANCA A9
3.0,Catamarca,7.0,CONCEJALES,503.0,JUNTOS POR EL CAMBIO,1.0,ADELANTE CATAMARCA
3.0,Catamarca,7.0,CONCEJALES,503.0,JUNTOS POR EL CAMBIO,5.0,CAMBIA CATAMARCA
3.0,Catamarca,7.0,CONCEJALES,504.0,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,2.0,UNIDAD DE LA IZQUIERDA
3.0,Catamarca,7.0,CONCEJALES,504.0,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1.0,(R)EVOLUCIONEMOS LA IZQUIERDA
3.0,Catamarca,2.0,SENADORES NACIONALES,,,,
3.0,Catamarca,2.0,SENADORES NACIONALES,215.0,RENACER POLITICO Y SOCIAL,1.0,UNICA
3.0,Catamarca,2.0,SENADORES NACIONALES,219.0,CORRIENTE DE PENSAMIENTO BONAERENSE,1.0,UNICA
3.0,Catamarca,2.0,SENADORES NACIONALES,501.0,FRENTE AMPLIO CATAMARQUEÑO,1.0,UNICA
3.0,Catamarca,2.0,SENADORES NACIONALES,502.0,FRENTE DE TODOS,1.0,CELESTE Y BLANCA A
3.0,Catamarca,2.0,SENADORES NACIONALES,503.0,JUNTOS POR EL CAMBIO,1.0,ADELANTE CATAMARCA
3.0,Catamarca,2.0,SENADORES NACIONALES,503.0,JUNTOS POR EL CAMBIO,5.0,CAMBIA CATAMARCA
3.0,Catamarca,2.0,SENADORES NACIONALES,504.0,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,2.0,UNIDAD DE LA IZQUIERDA
